CHROM	start	stop	percentage	Me	Un	Anonymized_ID
chr5	71397433	71397433	0	0	1	SMA_990
chr5	71397489	71397489	99.9100950423838	7779	7	SMA_990
chr5	71397493	71397493	93.0644746981762	7246	540	SMA_990
chr5	71397495	71397495	98.4198355601233	7661	123	SMA_990
chr5	71397505	71397505	99.948625738505	7782	4	SMA_990
chr5	71397538	71397538	99.9228395061728	7770	6	SMA_990
chr5	71397549	71397549	99.9099215030241	7764	7	SMA_990
chr5	71397594	71397594	89.3220120931429	6943	830	SMA_990
chr5	71397638	71397638	100	7762	0	SMA_990
chr5	71397658	71397658	99.9484270242393	7752	4	SMA_990
chr5	71397680	71397680	99.9871067560598	7755	1	SMA_990
chr5	71397741	71397741	98.2001836547291	5347	98	SMA_990
chr5	71397793	71397793	94.8812448812449	6951	375	SMA_990
chr5	71397854	71397854	0	0	1	SMA_990
chr5	71397869	71397869	91.5347376684548	6996	647	SMA_990
chr5	71397914	71397914	0	0	5	SMA_990
chr5	71397433	71397433	0	0	1	SMA_991
chr5	71397489	71397489	98.2705172132485	12046	212	SMA_991
chr5	71397493	71397493	99.9347471451876	12252	8	SMA_991
chr5	71397495	71397495	99.9510523739599	12252	6	SMA_991
chr5	71397505	71397505	99.9755241902586	12254	3	SMA_991
chr5	71397538	71397538	99.8774109186008	12221	15	SMA_991
chr5	71397549	71397549	99.9509282734931	12221	6	SMA_991
chr5	71397594	71397594	99.9754480726737	12216	3	SMA_991
chr5	71397638	71397638	99.9426699426699	12203	7	SMA_991
chr5	71397658	71397658	99.4097876875154	12127	72	SMA_991
chr5	71397680	71397680	100	12209	0	SMA_991
chr5	71397741	71397741	98.7295612280908	8393	108	SMA_991
chr5	71397793	71397793	99.9737899702953	11443	3	SMA_991
chr5	71397869	71397869	98.0004978013773	11812	241	SMA_991
chr5	71397914	71397914	0	0	1	SMA_991
chr5	71397433	71397433	0	0	1	SMA_992
chr5	71397489	71397489	99.9195009056148	9930	8	SMA_992
chr5	71397493	71397493	99.9496830029184	9932	5	SMA_992
chr5	71397495	71397495	88.4863123993559	8792	1144	SMA_992
chr5	71397505	71397505	99.9698158768488	9936	3	SMA_992
chr5	71397538	71397538	99.9394917305365	9910	6	SMA_992
chr5	71397549	71397549	99.9596489458287	9909	4	SMA_992
chr5	71397594	71397594	93.4497375857893	9259	649	SMA_992
chr5	71397638	71397638	99.9495051504746	9897	5	SMA_992
chr5	71397658	71397658	99.8179795732632	9871	18	SMA_992
chr5	71397680	71397680	99.9898949070331	9895	1	SMA_992
chr5	71397741	71397741	99.8650836481382	7402	10	SMA_992
chr5	71397793	71397793	89.8157025673804	8431	956	SMA_992
chr5	71397869	71397869	90.2229494784209	8822	956	SMA_992
chr5	71397914	71397914	0	0	1	SMA_992
chr5	71397489	71397489	96.1922893860067	8084	320	SMA_993
chr5	71397493	71397493	99.869109947644	8393	11	SMA_993
chr5	71397495	71397495	99.5119047619048	8359	41	SMA_993
chr5	71397505	71397505	99.9643069601428	8402	3	SMA_993
chr5	71397538	71397538	99.9285629241576	8393	6	SMA_993
chr5	71397549	71397549	99.5832837242529	8364	35	SMA_993
chr5	71397594	71397594	98.4992853739876	8270	126	SMA_993
chr5	71397638	71397638	93.2570883964737	7828	566	SMA_993
chr5	71397658	71397658	99.9761592561688	8387	2	SMA_993
chr5	71397680	71397680	100	8387	0	SMA_993
chr5	71397741	71397741	91.7106737077932	5731	518	SMA_993
chr5	71397793	71397793	99.6392137347599	8009	29	SMA_993
chr5	71397869	71397869	98.5090777924732	8193	124	SMA_993
chr5	71397914	71397914	0	0	3	SMA_993
